('Flo8p', 0.47627746628049339)
('Tbs1p', 0.48756728960640627)
('Nrg1p', 0.50911638902190259)
('Upc2p', 0.51661451902257782)
('Stp2p', 0.52128786521207826)
('Rsf2p', 0.52393121359017059)
('Crz1p', 0.5239446126317131)
('Leu3p', 0.5271264988729466)
('Gal4p', 0.5304850924968485)
('Rif1p', 0.53095859760855646)
('Eds1p', 0.53400029446648056)
('Sir3p', 0.54094673023845596)
('Rsc30p', 0.54948441791115887)
('Rds1p', 0.55676870184648442)
('Hcm1p', 0.55676870184648442)
('Gal80p', 0.55818306096886916)
('Cup2p', 0.56334223483151147)
('Abf1p', 0.56507581132159368)
('Sut2p', 0.57042605295029047)
('Pho23p', 0.5824625467318324)
('Kar4p', 0.58366272879523573)
('Rco1p', 0.58915420208371372)
('Nnf2p', 0.58920695066076934)
('Tbf1p', 0.5923780989052535)
('Hst1p', 0.59268644171106477)
('Ndt80p', 0.60049071219727046)
('Rtf1p', 0.60230197858580681)
('Ngg1p', 0.60704488165596016)
('Stb4p', 0.60704488165596016)
('Isw2p', 0.61250742985691076)
('Plm2p', 0.61445970929188309)
('Snf6p', 0.62035864137208496)
('Mac1p', 0.63223033079589586)
('Srb8p', 0.63223033079589586)
('Met32p', 0.63872214540450267)
('Hap3p', 0.64707478360825132)
('Yap7p', 0.64994927999686869)
('Pho2p', 0.65111764429867569)
('Pdr3p', 0.65450671416272954)
('Mig1p', 0.67559653872675196)
('Smp1p', 0.67633422288736122)
('Pog1p', 0.69446508476339053)
('Smk1p', 0.71011895182909479)
('Hst4p', 0.71011895182909479)
('Gat4p', 0.71731325746108077)
('Stb6p', 0.72608030041663962)
('Met31p', 0.72735387480244829)
('Snt2p', 0.72737015569972308)
('Ada2p', 0.72737015569972308)
('Bye1p', 0.72961959506094431)
('Stp1p', 0.74264015097329583)
('Vms1p', 0.74455452365807073)
('Hst3p', 0.74455452365807073)
('Aft2p', 0.74852730356909647)
('Swi3p', 0.75205030357341673)
('Phd1p', 0.76334366139508814)
('Rsc2p', 0.76836427142186492)
('Fzf1p', 0.77517625201136842)
('Wtm1p', 0.77770867139828137)
('Azf1p', 0.7810240430738411)
('Taf14p', 0.7827733090841833)
('Skn7p', 0.79713056571406216)
('Hir1p', 0.80177607469033041)
('Cha4p', 0.80314516055974683)
('Cat8p', 0.80510084743280241)
('Gzf3p', 0.81784211774895055)
('Met28p', 0.82057707030233973)
('Yap3p', 0.82130864392700031)
('Dal81p', 0.83433006636891238)
('Tos8p', 0.83688799752902021)
('Hap5p', 0.84593571969654757)
('Ash1p', 0.84740419324958172)
('Hat2p', 0.85087731951303613)
('Ecm22p', 0.85513019500047838)
('Hda1p', 0.85830895511347027)
('Opi1p', 0.85966876465848496)
('Mss11p', 0.86466287168483502)
('Mig2p', 0.86466287168483502)
('Ino2p', 0.86466287168483502)
('Mbp1p', 0.88040255947458868)
('Reb1p', 0.89311061987072304)
('Ino4p', 0.89622157315920403)
('Tye7p', 0.9014490058726401)
('Spt4p', 0.9084198029032402)
('Rtg1p', 0.99999999999999634)
('Met18p', 0.99999999999999645)
('Sif2p', 0.99999999999999689)
('Mth1p', 0.99999999999999711)
('Uls1p', 0.99999999999999711)
('Ssn2p', 0.99999999999999845)
('Dot6p', 0.99999999999999845)
('Sfl1p', 0.99999999999999845)
('Rox1p', 0.99999999999999867)
('Rtt107p', 0.99999999999999889)
('Uga3p', 1.0)
('Nrg2p', 1.0)
('Dat1p', 1.0)
('Urc2p', 1.0)
('Mot3p', 1.0)
('Hir3p', 1.0)
('Rif2p', 1.0)
('Ume6p', 1.0)
('Gis1p', 1.0)
('Hap4p', 1.0)
('Rsc1p', 1.0)
('Ppr1p', 1.0)
('Hms1p', 1.0)
('YPR015C', 1.0)
('Mal13p', 1.0)
('Dot5p', 1.0)
('Ert1p', 1.0)
('Sip4p', 1.0)
('YFL052W', 1.0)
('Pgd1p', 1.0)
('Jhd1p', 1.0)
('Rdr1p', 1.0)
('Ime1p', 1.0)
