('Mga2p', 1.0168575490937485e-07)
('Fkh1p', 2.8076346607045921e-05)
('Rpn4p', 3.2931169257224935e-05)
('Spt10p', 3.7286357503683329e-05)
('Cst6p', 4.2078051876470173e-05)
('Swi5p', 6.5716174094630265e-05)
('Ric1p', 0.00023712917356184045)
('Ifh1p', 0.00025742588420540338)
('Sin3p', 0.00049385698630665319)
('Rlm1p', 0.00075190422315864864)
('Spt23p', 0.0008376988986776244)
('Hfi1p', 0.0015193759989022915)
('Sfp1p', 0.0022224379890409592)
('Yap5p', 0.0026442391633607503)
('Spt20p', 0.0045322463710430133)
('Gcr1p', 0.0062159703256555194)
('Yox1p', 0.0063927943651904458)
('Snf2p', 0.0079822018614691854)
('Fhl1p', 0.011740595480835302)
('Rim101p', 0.012676588996175141)
('Cbf1p', 0.013639587911624562)
('Hsf1p', 0.013949063444470607)
('Hmo1p', 0.013971863650089518)
('Sds3p', 0.014716342614520435)
('Yap6p', 0.015591315286011724)
('Pho4p', 0.017717705307985131)
('Tda9p', 0.018199887597851235)
('Yrr1p', 0.022601915002855279)
('Cse2p', 0.02494372122330827)
('Rlf2p', 0.027829356996055127)
('Esc2p', 0.029054924591646106)
('Hot1p', 0.031465441207244239)
('Gat3p', 0.032270606987955239)
('YER184C', 0.033038236864968026)
('Msn4p', 0.03307603502315215)
('Ace2p', 0.038860545960098927)
('Bas1p', 0.039722542451961343)
('Tup1p', 0.039891756723142935)
('Gcr2p', 0.04142289934210075)
('Pdr1p', 0.041601304739632666)
('Sas3p', 0.045146643836245288)
('Zap1p', 0.045528673596829619)
('Hir2p', 0.045803083624581124)
('Msn1p', 0.05166480055343782)
('Sok2p', 0.053295035586349487)
('Rds2p', 0.058749348551394263)
('Adr1p', 0.060004962602903403)
('Mbf1p', 0.062954949575719676)
('Isw1p', 0.066058876938275307)
('Sko1p', 0.068016074794050738)
('Gts1p', 0.068670756727440455)
('Rgm1p', 0.069260614107184898)
('Nsi1p', 0.071433451032922646)
('Sir2p', 0.074421512915626847)
('Zds1p', 0.089721767867115471)
('Tec1p', 0.092218424254512321)
('Stb1p', 0.097465241268916897)
('Oaf1p', 0.09935144183561101)
('Bdf2p', 0.10323771628264551)
('Rfx1p', 0.1055636906557276)
('Arr1p', 0.10878086538372778)
('Ask10p', 0.11069727691143927)
('Met4p', 0.11302144912626694)
('Gcn4p', 0.12049164002776719)
('Asg1p', 0.12975487823409393)
('Cad1p', 0.13303192779908934)
('Yhp1p', 0.13411655536208394)
('Swi4p', 0.13774935699327523)
('Sut1p', 0.14224684502305468)
('Wtm2p', 0.14536608991800276)
('Otu1p', 0.14536608991800276)
('Mal33p', 0.1484962388975522)
('Set2p', 0.14922796856800002)
('Fkh2p', 0.15393826308718619)
('Mds3p', 0.15460225804712038)
('Hog1p', 0.1551658884503947)
('Rpi1p', 0.15783925351294759)
('Rtg3p', 0.16020903352940405)
('Swi6p', 0.1641079301690751)
('Snf5p', 0.16888719015270498)
('Stb5p', 0.17425957140760373)
('Sps18p', 0.17870864029808367)
('Mga1p', 0.18260857906154426)
('Haa1p', 0.19935575743312089)
('Gln3p', 0.19993062332326039)
('Arg81p', 0.20656946223034162)
('Pop2p', 0.20751064513865175)
('Ure2p', 0.20765526529791739)
('Srd1p', 0.20765526529791739)
('Rph1p', 0.21127657196708435)
('Sum1p', 0.21895285806324036)
('Msi1p', 0.22500924174910109)
('Arg80p', 0.2259741215711612)
('Pip2p', 0.23048743958400755)
('Tis11p', 0.23513864431180026)
('Gal11p', 0.2402180170925321)
('Gsm1p', 0.24513380070517804)
('Snf1p', 0.24709433851424581)
('YER130C', 0.25966539556673252)
('Hap2p', 0.26689491012961053)
('Cup9p', 0.27452572188176327)
('YPR196W', 0.27965580134023055)
('Hpa2p', 0.28134318765988192)
('Gat1p', 0.28679960217155764)
('Rap1p', 0.28804346257855623)
('Yrm1p', 0.28906840069094364)
('Sas5p', 0.2896469172635151)
('Hal9p', 0.29544249478429518)
('Aft1p', 0.30620242575825141)
('Put3p', 0.3071512161545516)
('Mig3p', 0.30898677656383833)
('Nut1p', 0.31674028425961254)
('Cac2p', 0.32321280448564305)
('Dal82p', 0.32638023065807531)
('Dig1p', 0.32878097208203394)
('YPR022C', 0.32878097208203394)
('Xbp1p', 0.33530713218352842)
('Aro80p', 0.33777902458909514)
('Cdc73p', 0.33944969950471177)
('Hel2p', 0.34605310932588668)
('Spt3p', 0.35160149460690676)
('Hac1p', 0.35549702459813015)
('Hap1p', 0.35549702459813015)
('Msn2p', 0.35578513913207344)
('Oaf3p', 0.35663794974220553)
('Sin4p', 0.35875877630607778)
('Not3p', 0.36099687464598507)
('Thi2p', 0.36343237227552672)
('Spt2p', 0.3700955532809877)
('Rgt2p', 0.3725053541688742)
('Kss1p', 0.37626780832606499)
('Stb2p', 0.3777672295126947)
('YJL206C', 0.3777672295126947)
('Yap1p', 0.38608285908368989)
('Dal80p', 0.38702377240462138)
('Caf4p', 0.38702377240462138)
('Cin5p', 0.38741387547117079)
('Mcm1p', 0.39791363073986663)
('Tos4p', 0.41400373324507955)
('Rme1p', 0.41719596664426484)
('Stp4p', 0.42581602690730636)
('Pib2p', 0.42930978812679271)
('Ste12p', 0.43517325856405231)
('War1p', 0.43833562517597757)
('Sir1p', 0.45251039395234394)
('Rpd3p', 0.45291147720275038)
('Ixr1p', 0.45969743818032616)
('YLR278C', 0.45996263350517641)
('Srb2p', 0.46168680844963605)
('Rgt1p', 0.4698561872932886)
('Sef1p', 0.47293961136520624)
('YGR067C', 0.47293961136520624)
